clip_name,Jaywalking,Remarks,ground_truth
video_0002.mp4,No,,COMPLIANT
video_0020.mp4,Yes,,JAYWALKING
video_0024.mp4,Yes,,JAYWALKING
video_0047.mp4,Yes,,JAYWALKING
video_0057.mp4,No,,COMPLIANT
video_0061.mp4,Yes,,JAYWALKING
video_0063.mp4,Yes,,JAYWALKING
video_0064.mp4,Yes,,JAYWALKING
video_0070.mp4,No,,COMPLIANT
video_0071.mp4,No,,COMPLIANT
video_0079.mp4,Yes,,JAYWALKING
video_0084.mp4,Yes,,JAYWALKING
video_0085.mp4,Yes,,JAYWALKING
video_0090.mp4,No,,COMPLIANT
video_0091.mp4,Yes,,JAYWALKING
video_0093.mp4,Yes,,JAYWALKING
video_0098.mp4,Yes,,JAYWALKING
video_0101.mp4,Yes,,JAYWALKING
video_0102.mp4,No,,COMPLIANT
video_0108.mp4,No,,COMPLIANT
video_0116.mp4,Yes,,JAYWALKING
video_0119.mp4,No,,COMPLIANT
video_0120.mp4,No,,COMPLIANT
video_0126.mp4,No,,COMPLIANT
video_0129.mp4,Yes,,JAYWALKING
video_0132.mp4,No,,COMPLIANT
video_0134.mp4,Yes,,JAYWALKING
video_0140.mp4,No,,COMPLIANT
video_0143.mp4,No,,COMPLIANT
video_0156.mp4,No,,COMPLIANT
video_0166.mp4,Yes,,JAYWALKING
video_0172.mp4,No,,COMPLIANT
video_0173.mp4,No,,COMPLIANT
video_0179.mp4,No,,COMPLIANT
video_0183.mp4,No,,COMPLIANT
video_0196.mp4,No,,COMPLIANT
video_0197.mp4,No,,COMPLIANT
video_0201.mp4,Yes,,JAYWALKING
video_0205.mp4,No,,COMPLIANT
video_0215.mp4,No,,COMPLIANT
video_0218.mp4,Yes,,JAYWALKING
video_0222.mp4,Yes,,JAYWALKING
video_0226.mp4,No,,COMPLIANT
video_0228.mp4,No,,COMPLIANT
video_0234.mp4,No,,COMPLIANT
video_0242.mp4,No,,COMPLIANT
video_0248.mp4,Yes,,JAYWALKING
video_0255.mp4,No,,COMPLIANT
video_0257.mp4,No,,COMPLIANT
video_0259.mp4,No,,COMPLIANT
video_0260.mp4,No,,COMPLIANT
video_0267.mp4,No,,COMPLIANT
video_0269.mp4,No,,COMPLIANT
video_0273.mp4,Yes,,JAYWALKING
video_0275.mp4,No,,COMPLIANT
video_0276.mp4,No,,COMPLIANT
video_0277.mp4,No,,COMPLIANT
video_0283.mp4,Yes,,JAYWALKING
video_0290.mp4,No,,COMPLIANT
video_0295.mp4,Yes,,JAYWALKING
video_0299.mp4,No,,COMPLIANT
video_0301.mp4,No,,COMPLIANT
video_0302.mp4,No,,COMPLIANT
video_0303.mp4,No,,COMPLIANT
video_0306.mp4,No,,COMPLIANT
video_0310.mp4,No,,COMPLIANT
video_0315.mp4,No,,COMPLIANT
video_0324.mp4,Yes,,JAYWALKING
video_0326.mp4,No,,COMPLIANT
