YOLO_id,X-center,Y-center,Width,Height,Unique Id,Frame Count,zebra_crossing,traffic_light_state,facing_direction,stride_ratio
0,0.35,0.5,0.05,0.15,1.0,1,False,UNKNOWN,FACING_VEHICLE,0.2
9,0.8,0.2,0.03,0.08,100.0,1,False,RED,UNKNOWN,0.0
9,0.8,0.2,0.03,0.08,100.0,2,False,RED,UNKNOWN,0.0
0,0.35612244897959183,0.5,0.05,0.15,1.0,2,False,UNKNOWN,FACING_VEHICLE,0.2
0,0.36224489795918363,0.5,0.05,0.15,1.0,3,False,UNKNOWN,FACING_VEHICLE,0.2
9,0.8,0.2,0.03,0.08,100.0,3,False,RED,UNKNOWN,0.0
9,0.8,0.2,0.03,0.08,100.0,4,False,RED,UNKNOWN,0.0
0,0.3683673469387755,0.5,0.05,0.15,1.0,4,False,UNKNOWN,FACING_VEHICLE,0.2
0,0.37448979591836734,0.5,0.05,0.15,1.0,5,False,UNKNOWN,FACING_VEHICLE,0.2
9,0.8,0.2,0.03,0.08,100.0,5,False,RED,UNKNOWN,0.0
9,0.8,0.2,0.03,0.08,100.0,6,False,RED,UNKNOWN,0.0
0,0.38061224489795914,0.5,0.05,0.15,1.0,6,False,UNKNOWN,FACING_VEHICLE,0.2
0,0.386734693877551,0.5,0.05,0.15,1.0,7,False,UNKNOWN,FACING_VEHICLE,0.2
9,0.8,0.2,0.03,0.08,100.0,7,False,RED,UNKNOWN,0.0
9,0.8,0.2,0.03,0.08,100.0,8,False,RED,UNKNOWN,0.0
0,0.39285714285714285,0.5,0.05,0.15,1.0,8,False,UNKNOWN,FACING_VEHICLE,0.2
0,0.3989795918367347,0.5,0.05,0.15,1.0,9,False,UNKNOWN,FACING_VEHICLE,0.2
9,0.8,0.2,0.03,0.08,100.0,9,False,RED,UNKNOWN,0.0
9,0.8,0.2,0.03,0.08,100.0,10,False,RED,UNKNOWN,0.0
0,0.4051020408163265,0.5,0.05,0.15,1.0,10,False,UNKNOWN,FACING_VEHICLE,0.2
0,0.41122448979591836,0.5,0.05,0.15,1.0,11,False,UNKNOWN,FACING_VEHICLE,0.2
9,0.8,0.2,0.03,0.08,100.0,11,False,RED,UNKNOWN,0.0
9,0.8,0.2,0.03,0.08,100.0,12,False,RED,UNKNOWN,0.0
0,0.4173469387755102,0.5,0.05,0.15,1.0,12,False,UNKNOWN,FACING_VEHICLE,0.2
0,0.423469387755102,0.5,0.05,0.15,1.0,13,False,UNKNOWN,FACING_VEHICLE,0.2
9,0.8,0.2,0.03,0.08,100.0,13,False,RED,UNKNOWN,0.0
9,0.8,0.2,0.03,0.08,100.0,14,False,RED,UNKNOWN,0.0
0,0.42959183673469387,0.5,0.05,0.15,1.0,14,False,UNKNOWN,FACING_VEHICLE,0.2
0,0.4357142857142857,0.5,0.05,0.15,1.0,15,False,UNKNOWN,FACING_VEHICLE,0.2
9,0.8,0.2,0.03,0.08,100.0,15,False,RED,UNKNOWN,0.0
9,0.8,0.2,0.03,0.08,100.0,16,False,RED,UNKNOWN,0.0
0,0.4418367346938775,0.5,0.05,0.15,1.0,16,False,UNKNOWN,FACING_VEHICLE,0.2
0,0.4479591836734694,0.5,0.05,0.15,1.0,17,False,UNKNOWN,FACING_VEHICLE,0.2
9,0.8,0.2,0.03,0.08,100.0,17,False,RED,UNKNOWN,0.0
9,0.8,0.2,0.03,0.08,100.0,18,False,RED,UNKNOWN,0.0
0,0.45408163265306123,0.5,0.05,0.15,1.0,18,False,UNKNOWN,FACING_VEHICLE,0.2
0,0.46020408163265303,0.5,0.05,0.15,1.0,19,False,UNKNOWN,FACING_VEHICLE,0.2
9,0.8,0.2,0.03,0.08,100.0,19,False,RED,UNKNOWN,0.0
9,0.8,0.2,0.03,0.08,100.0,20,False,RED,UNKNOWN,0.0
0,0.4663265306122449,0.5,0.05,0.15,1.0,20,False,UNKNOWN,FACING_VEHICLE,0.2
0,0.47244897959183674,0.5,0.05,0.15,1.0,21,False,UNKNOWN,FACING_VEHICLE,0.2
9,0.8,0.2,0.03,0.08,100.0,21,False,RED,UNKNOWN,0.0
9,0.8,0.2,0.03,0.08,100.0,22,False,RED,UNKNOWN,0.0
0,0.47857142857142854,0.5,0.05,0.15,1.0,22,False,UNKNOWN,FACING_VEHICLE,0.2
0,0.4846938775510204,0.5,0.05,0.15,1.0,23,False,UNKNOWN,FACING_VEHICLE,0.2
9,0.8,0.2,0.03,0.08,100.0,23,False,RED,UNKNOWN,0.0
9,0.8,0.2,0.03,0.08,100.0,24,False,RED,UNKNOWN,0.0
0,0.49081632653061225,0.5,0.05,0.15,1.0,24,False,UNKNOWN,FACING_VEHICLE,0.2
0,0.49693877551020404,0.5,0.05,0.15,1.0,25,False,UNKNOWN,FACING_VEHICLE,0.2
9,0.8,0.2,0.03,0.08,100.0,25,False,RED,UNKNOWN,0.0
9,0.8,0.2,0.03,0.08,100.0,26,False,RED,UNKNOWN,0.0
0,0.5030612244897958,0.5,0.05,0.15,1.0,26,False,UNKNOWN,FACING_VEHICLE,0.2
0,0.5091836734693878,0.5,0.05,0.15,1.0,27,False,UNKNOWN,FACING_VEHICLE,0.2
9,0.8,0.2,0.03,0.08,100.0,27,False,RED,UNKNOWN,0.0
9,0.8,0.2,0.03,0.08,100.0,28,False,RED,UNKNOWN,0.0
0,0.5153061224489796,0.5,0.05,0.15,1.0,28,False,UNKNOWN,FACING_VEHICLE,0.2
0,0.5214285714285714,0.5,0.05,0.15,1.0,29,False,UNKNOWN,FACING_VEHICLE,0.2
9,0.8,0.2,0.03,0.08,100.0,29,False,RED,UNKNOWN,0.0
9,0.8,0.2,0.03,0.08,100.0,30,False,RED,UNKNOWN,0.0
0,0.5275510204081633,0.5,0.05,0.15,1.0,30,False,UNKNOWN,FACING_VEHICLE,0.2
0,0.5336734693877551,0.5,0.05,0.15,1.0,31,False,UNKNOWN,FACING_VEHICLE,0.2
9,0.8,0.2,0.03,0.08,100.0,31,False,RED,UNKNOWN,0.0
9,0.8,0.2,0.03,0.08,100.0,32,False,RED,UNKNOWN,0.0
0,0.539795918367347,0.5,0.05,0.15,1.0,32,False,UNKNOWN,FACING_VEHICLE,0.2
9,0.8,0.2,0.03,0.08,100.0,33,False,RED,UNKNOWN,0.0
0,0.5459183673469388,0.5,0.05,0.15,1.0,33,False,UNKNOWN,FACING_VEHICLE,0.2
0,0.5520408163265306,0.5,0.05,0.15,1.0,34,False,UNKNOWN,FACING_VEHICLE,0.2
9,0.8,0.2,0.03,0.08,100.0,34,False,RED,UNKNOWN,0.0
9,0.8,0.2,0.03,0.08,100.0,35,False,RED,UNKNOWN,0.0
0,0.5581632653061225,0.5,0.05,0.15,1.0,35,False,UNKNOWN,FACING_VEHICLE,0.2
0,0.5642857142857143,0.5,0.05,0.15,1.0,36,False,UNKNOWN,FACING_VEHICLE,0.2
9,0.8,0.2,0.03,0.08,100.0,36,False,RED,UNKNOWN,0.0
9,0.8,0.2,0.03,0.08,100.0,37,False,RED,UNKNOWN,0.0
0,0.5704081632653062,0.5,0.05,0.15,1.0,37,False,UNKNOWN,FACING_VEHICLE,0.2
0,0.576530612244898,0.5,0.05,0.15,1.0,38,False,UNKNOWN,FACING_VEHICLE,0.2
9,0.8,0.2,0.03,0.08,100.0,38,False,RED,UNKNOWN,0.0
9,0.8,0.2,0.03,0.08,100.0,39,False,RED,UNKNOWN,0.0
0,0.5826530612244898,0.5,0.05,0.15,1.0,39,False,UNKNOWN,FACING_VEHICLE,0.2
0,0.5887755102040817,0.5,0.05,0.15,1.0,40,False,UNKNOWN,FACING_VEHICLE,0.2
9,0.8,0.2,0.03,0.08,100.0,40,False,RED,UNKNOWN,0.0
9,0.8,0.2,0.03,0.08,100.0,41,False,RED,UNKNOWN,0.0
0,0.5948979591836735,0.5,0.05,0.15,1.0,41,False,UNKNOWN,FACING_VEHICLE,0.2
0,0.6010204081632653,0.5,0.05,0.15,1.0,42,False,UNKNOWN,FACING_VEHICLE,0.2
9,0.8,0.2,0.03,0.08,100.0,42,False,RED,UNKNOWN,0.0
9,0.8,0.2,0.03,0.08,100.0,43,False,RED,UNKNOWN,0.0
0,0.6071428571428572,0.5,0.05,0.15,1.0,43,False,UNKNOWN,FACING_VEHICLE,0.2
0,0.613265306122449,0.5,0.05,0.15,1.0,44,False,UNKNOWN,FACING_VEHICLE,0.2
9,0.8,0.2,0.03,0.08,100.0,44,False,RED,UNKNOWN,0.0
9,0.8,0.2,0.03,0.08,100.0,45,False,RED,UNKNOWN,0.0
0,0.6193877551020408,0.5,0.05,0.15,1.0,45,False,UNKNOWN,FACING_VEHICLE,0.2
0,0.6255102040816327,0.5,0.05,0.15,1.0,46,False,UNKNOWN,FACING_VEHICLE,0.2
9,0.8,0.2,0.03,0.08,100.0,46,False,RED,UNKNOWN,0.0
9,0.8,0.2,0.03,0.08,100.0,47,False,RED,UNKNOWN,0.0
0,0.6316326530612245,0.5,0.05,0.15,1.0,47,False,UNKNOWN,FACING_VEHICLE,0.2
0,0.6377551020408163,0.5,0.05,0.15,1.0,48,False,UNKNOWN,FACING_VEHICLE,0.2
9,0.8,0.2,0.03,0.08,100.0,48,False,RED,UNKNOWN,0.0
9,0.8,0.2,0.03,0.08,100.0,49,False,RED,UNKNOWN,0.0
0,0.6438775510204082,0.5,0.05,0.15,1.0,49,False,UNKNOWN,FACING_VEHICLE,0.2
0,0.65,0.5,0.05,0.15,1.0,50,False,UNKNOWN,FACING_VEHICLE,0.2
9,0.8,0.2,0.03,0.08,100.0,50,False,RED,UNKNOWN,0.0
