video_id,clip_name,ped_id,eval_label,violation_type,cross_action,look,action,start_frame,end_frame,num_frames,has_zebra,has_red_light,has_green_light,is_signalized,is_designated,road_type,num_lanes,intersection,clip_exists
video_0003,video_0003.mp4,0_3_7b,jaywalking,UNSIGNALIZED_CROSSING,crossing,not-looking,walking,0,174,175,False,False,False,True,False,parking_lot,1,yes,True
video_0006,video_0006.mp4,0_6_27b,jaywalking,NO_CROSSWALK,crossing,not-looking,walking,127,329,203,False,False,False,False,False,parking_lot,2,yes,True
video_0011,video_0011.mp4,0_11_56b,jaywalking,NO_CROSSWALK,crossing,looking,walking,0,255,256,False,False,False,False,False,parking_lot,2,yes,True
video_0012,video_0012.mp4,0_12_57b,jaywalking,SIGNAL_VIOLATION,crossing,not-looking,walking,0,108,109,False,True,False,False,False,street,6,no,True
video_0014,video_0014.mp4,0_14_62b,compliant,,crossing,not-looking,walking,0,256,257,True,False,False,False,True,street,2,no,True
video_0016,video_0016.mp4,0_16_72b,jaywalking,NO_CROSSWALK,crossing,not-looking,walking,0,113,114,False,False,False,False,False,parking_lot,2,yes,True
video_0016,video_0016.mp4,0_16_67b,jaywalking,NO_CROSSWALK,crossing,not-looking,walking,0,160,161,False,False,False,False,False,parking_lot,2,yes,True
video_0023,video_0023.mp4,0_23_96b,compliant,,crossing,not-looking,walking,45,229,185,True,False,False,False,True,street,2,yes,True
video_0025,video_0025.mp4,0_25_107b,compliant,,crossing,not-looking,walking,0,201,202,True,False,False,False,True,street,2,yes,True
video_0028,video_0028.mp4,0_28_125b,jaywalking,NO_CROSSWALK,crossing,not-looking,walking,42,239,198,False,False,False,False,False,street,1,no,True
video_0030,video_0030.mp4,0_30_134b,jaywalking,SIGNAL_VIOLATION,crossing,not-looking,walking,0,149,150,False,True,False,False,False,street,2,no,True
video_0031,video_0031.mp4,0_31_155b,compliant,,crossing,looking,walking,0,277,278,True,False,False,False,True,parking_lot,2,yes,True
video_0032,video_0032.mp4,0_32_156b,jaywalking,NO_CROSSWALK,crossing,not-looking,walking,0,206,207,False,False,False,False,False,parking_lot,2,no,True
video_0035,video_0035.mp4,0_35_163b,jaywalking,NO_CROSSWALK,crossing,looking,walking,0,134,135,False,False,False,False,False,street,2,yes,True
video_0037,video_0037.mp4,0_37_168b,jaywalking,NO_CROSSWALK,crossing,not-looking,walking,0,237,238,False,False,False,False,False,street,3,yes,True
video_0038,video_0038.mp4,0_38_178b,jaywalking,NO_CROSSWALK,crossing,not-looking,walking,0,580,581,False,False,False,False,False,street,4,no,True
video_0039,video_0039.mp4,0_39_192b,compliant,,crossing,not-looking,walking,0,359,360,True,False,True,True,True,street,1,yes,True
video_0039,video_0039.mp4,0_39_189b,compliant,,crossing,not-looking,walking,26,298,273,True,False,True,True,True,street,1,yes,True
video_0041,video_0041.mp4,0_41_197b,compliant,,crossing,not-looking,walking,0,330,331,True,False,False,False,True,street,2,yes,True
video_0042,video_0042.mp4,0_42_198b,jaywalking,NO_CROSSWALK,crossing,not-looking,walking,0,238,239,False,False,False,False,False,parking_lot,2,no,True
video_0045,video_0045.mp4,0_45_207b,jaywalking,NO_CROSSWALK,crossing,not-looking,walking,63,129,67,False,False,False,False,False,parking_lot,2,no,True
video_0046,video_0046.mp4,0_46_213b,compliant,,crossing,not-looking,walking,0,199,200,True,False,False,True,True,street,2,no,True
