name,gt,pred,match,verdict,reason,confidence,frames,persons,crossing_persons,tl_red_highconf,tl_green_highconf,tl_red_total,tl_green_total,tl_unknown,zebra_pct
video_0014.mp4,compliant,compliant,True,correct,on zebra (270/270f),high,270,1,1,71,273,71,273,0,100
video_0023.mp4,compliant,compliant,True,ambiguous,on zebra (236/240f),high,240,2,2,3,42,3,42,0,98
video_0025.mp4,compliant,compliant,True,correct,on zebra (204/210f),high,210,8,5,66,696,66,696,0,97
video_0003.mp4,jaywalking,compliant,False,correct,on zebra (208/210f),high,210,3,3,32,396,32,396,0,99
video_0006.mp4,jaywalking,compliant,False,correct,on zebra (330/330f),high,330,25,7,12,2226,12,2226,0,100
video_0011.mp4,jaywalking,compliant,False,correct,on zebra (269/270f),high,270,2,1,10,245,10,245,0,100
video_0012.mp4,jaywalking,jaywalking,True,correct,SIGNAL_VIOLATION: red_ratio=78% (465/599),medium,120,7,1,465,134,465,134,0,98
video_0016.mp4,jaywalking,compliant,False,correct,on zebra (197/210f),high,210,13,8,23,940,23,940,0,94
video_0028.mp4,jaywalking,compliant,False,correct,on zebra (240/240f),high,240,18,3,0,2731,0,2731,0,100
video_0030.mp4,jaywalking,jaywalking,True,correct,SIGNAL_VIOLATION: red_ratio=31% (175/564),medium,180,5,4,175,389,175,389,0,100
video_0032.mp4,jaywalking,compliant,False,correct,on zebra (236/240f),high,240,3,2,10,346,10,346,0,98
video_0035.mp4,jaywalking,jaywalking,True,wrong,SIGNAL_VIOLATION: red_ratio=43% (159/368),medium,180,2,1,159,209,159,209,0,88
video_0037.mp4,jaywalking,compliant,False,wrong,on zebra (289/300f),high,300,7,5,14,751,14,751,0,96
