clip_name,auto_label,reviewer_verdict,reviewer_notes,source,video_id,person_uid,violation_type,x_range,has_zebra,has_red_light,road_frames
video_0014.mp4,compliant,correct,,jaad,video_0014,0_14_62b,,,True,False,
video_0023.mp4,compliant,ambiguous,,jaad,video_0023,0_23_96b,,,True,False,
video_0025.mp4,compliant,correct,,jaad,video_0025,0_25_107b,,,True,False,
video_0003.mp4,jaywalking,correct,,jaad,video_0003,0_3_7b,UNSIGNALIZED_CROSSING,,False,False,
video_0006.mp4,jaywalking,correct,,jaad,video_0006,0_6_27b,NO_CROSSWALK,,False,False,
video_0011.mp4,jaywalking,correct,,jaad,video_0011,0_11_56b,NO_CROSSWALK,,False,False,
video_0012.mp4,jaywalking,correct,,jaad,video_0012,0_12_57b,SIGNAL_VIOLATION,,False,True,
video_0016.mp4,jaywalking,correct,,jaad,video_0016,0_16_67b,NO_CROSSWALK,,False,False,
video_0028.mp4,jaywalking,correct,,jaad,video_0028,0_28_125b,NO_CROSSWALK,,False,False,
video_0030.mp4,jaywalking,correct,,jaad,video_0030,0_30_134b,SIGNAL_VIOLATION,,False,True,
video_0032.mp4,jaywalking,correct,,jaad,video_0032,0_32_156b,NO_CROSSWALK,,False,False,
video_0035.mp4,jaywalking,wrong,,jaad,video_0035,0_35_163b,NO_CROSSWALK,,False,False,
video_0037.mp4,jaywalking,wrong,,jaad,video_0037,0_37_168b,NO_CROSSWALK,,False,False,
