video,ground_truth,prediction,correct,responsible_track_id,entry_frame,peak_motion_frame,event_start,event_end,processing_time_sec
video_0003.mp4,COMPLIANT,COMPLIANT,YES,2,34,175,33,175,7.85
video_0014.mp4,COMPLIANT,JAYWALKING,NO,7,31,253,30,256,9.32
video_0028.mp4,JAYWALKING,JAYWALKING,YES,17,55,109,54,240,8.63
video_0030.mp4,JAYWALKING,COMPLIANT,NO,33,11,148,10,149,10.45
video_0035.mp4,JAYWALKING,COMPLIANT,NO,39,8,132,7,134,10.07
video_0053.mp4,JAYWALKING,JAYWALKING,YES,44,12,230,11,235,12.2
video_0054.mp4,JAYWALKING,JAYWALKING,YES,53,11,328,10,348,14.92
video_0073.mp4,JAYWALKING,JAYWALKING,YES,87,3,23,2,25,8.76
video_0082.mp4,COMPLIANT,COMPLIANT,YES,106,11,70,10,85,9.89
video_0083.mp4,COMPLIANT,COMPLIANT,YES,130,37,147,36,149,11.41
video_0087.mp4,COMPLIANT,COMPLIANT,YES,170,41,191,40,227,12.88
video_0092.mp4,JAYWALKING,COMPLIANT,NO,203,9,111,8,114,9.96
video_0099.mp4,COMPLIANT,COMPLIANT,YES,222,117,179,116,180,10.22
video_0104.mp4,JAYWALKING,COMPLIANT,NO,230,3,141,2,143,9.47
video_0110.mp4,JAYWALKING,COMPLIANT,NO,241,100,210,99,210,11.31
video_0122.mp4,JAYWALKING,JAYWALKING,YES,248,3,170,2,175,9.97
video_0123.mp4,COMPLIANT,COMPLIANT,YES,269,78,138,77,138,9.11
video_0133.mp4,JAYWALKING,JAYWALKING,YES,271,3,194,2,200,10.87
video_0138.mp4,JAYWALKING,COMPLIANT,NO,277,3,49,2,85,12.91
video_0139.mp4,JAYWALKING,JAYWALKING,YES,298,3,98,2,164,11.69
video_0146.mp4,COMPLIANT,JAYWALKING,NO,313,7,107,6,108,8.71
video_0150.mp4,COMPLIANT,JAYWALKING,NO,340,104,121,103,285,14.06
video_0160.mp4,COMPLIANT,COMPLIANT,YES,352,67,84,66,210,11.01
video_0168.mp4,COMPLIANT,COMPLIANT,YES,370,54,79,53,80,8.45
video_0190.mp4,COMPLIANT,COMPLIANT,YES,384,220,316,218,360,14.41
video_0191.mp4,COMPLIANT,COMPLIANT,YES,419,55,148,54,150,9.49
video_0198.mp4,COMPLIANT,COMPLIANT,YES,450,8,83,7,84,7.58
video_0212.mp4,COMPLIANT,COMPLIANT,YES,472,95,109,94,153,10.82
video_0227.mp4,COMPLIANT,JAYWALKING,NO,479,7,33,6,90,9.97
video_0238.mp4,COMPLIANT,COMPLIANT,YES,495,72,235,71,235,11.97
video_0240.mp4,COMPLIANT,JAYWALKING,NO,519,42,105,41,210,10.7
video_0241.mp4,COMPLIANT,JAYWALKING,NO,526,85,101,84,102,9.28
video_0251.mp4,COMPLIANT,COMPLIANT,YES,536,51,148,50,150,11.14
video_0297.mp4,COMPLIANT,JAYWALKING,NO,566,5,144,4,240,15.57
video_0312.mp4,COMPLIANT,COMPLIANT,YES,582,7,120,2,120,8.49
video_0314.mp4,COMPLIANT,COMPLIANT,YES,597,24,25,24,120,8.63
video_0322.mp4,COMPLIANT,COMPLIANT,YES,602,33,270,32,270,12.34
video_0328.mp4,JAYWALKING,COMPLIANT,NO,619,53,119,52,120,8.41
video_0336.mp4,JAYWALKING,JAYWALKING,YES,620,3,93,2,93,10.47
