clip_name,ground_truth,v1_prediction,final_prediction,is_correct,applied_rule,elapsed_seconds,notes
video_0006.mp4,jaywalking,jaywalking,jaywalking,True,Canonical V1 Majority,7.76,"Road: parking_lot, Zebra: False"
video_0011.mp4,jaywalking,jaywalking,compliant,False,Policy A (Parking Lot Correction),4.56,"Road: parking_lot, Zebra: False"
video_0012.mp4,jaywalking,compliant,compliant,False,Canonical V1 Majority,4.11,"Road: street, Zebra: False"
video_0016.mp4,jaywalking,jaywalking,compliant,False,Policy A (Parking Lot Correction),4.73,"Road: parking_lot, Zebra: False"
video_0023.mp4,compliant,jaywalking,jaywalking,False,Canonical V1 Majority,4.97,"Road: street, Zebra: True"
video_0025.mp4,compliant,jaywalking,jaywalking,False,Canonical V1 Majority,4.97,"Road: street, Zebra: True"
video_0031.mp4,compliant,compliant,compliant,True,Canonical V1 Majority,4.07,"Road: parking_lot, Zebra: True"
video_0038.mp4,jaywalking,jaywalking,jaywalking,True,Canonical V1 Majority,5.01,"Road: street, Zebra: False"
video_0039.mp4,compliant,compliant,compliant,True,Canonical V1 Majority,4.13,"Road: street, Zebra: True"
video_0041.mp4,compliant,jaywalking,compliant,True,Policy A (Parking Lot Correction),4.9,"Road: street, Zebra: True"
video_0042.mp4,jaywalking,jaywalking,jaywalking,True,Canonical V1 Majority,4.87,"Road: parking_lot, Zebra: False"
video_0046.mp4,compliant,compliant,compliant,True,Canonical V1 Majority,4.04,"Road: street, Zebra: True"
video_0050.mp4,compliant,jaywalking,compliant,True,Policy A (Parking Lot Correction),4.4,"Road: parking_lot, Zebra: False"
video_0067.mp4,jaywalking,jaywalking,jaywalking,True,Canonical V1 Majority,2.23,"Road: street, Zebra: False"
video_0076.mp4,compliant,jaywalking,jaywalking,False,Canonical V1 Majority,4.95,"Road: street, Zebra: True"
video_0081.mp4,jaywalking,jaywalking,jaywalking,True,Canonical V1 Majority,4.99,"Road: street, Zebra: False"
video_0095.mp4,compliant,jaywalking,jaywalking,False,Canonical V1 Majority,4.99,"Road: street, Zebra: True"
video_0100.mp4,compliant,jaywalking,jaywalking,False,Canonical V1 Majority,5.02,"Road: street, Zebra: True"
video_0107.mp4,jaywalking,jaywalking,jaywalking,True,Canonical V1 Majority,4.99,"Road: street, Zebra: False"
video_0124.mp4,jaywalking,jaywalking,jaywalking,True,Canonical V1 Majority,4.92,"Road: street, Zebra: True"
