clip_id,clip_name,ground_truth,frame_votes,prediction,status
video_0006,video_0006.mp4,jaywalking,"['jaywalking', 'jaywalking', 'jaywalking']",jaywalking,PASS
video_0011,video_0011.mp4,jaywalking,"['jaywalking', 'jaywalking', 'jaywalking']",jaywalking,PASS
video_0012,video_0012.mp4,jaywalking,"['jaywalking', 'compliant', 'compliant']",compliant,FAIL
video_0016,video_0016.mp4,jaywalking,"['jaywalking', 'jaywalking', 'jaywalking']",jaywalking,PASS
video_0023,video_0023.mp4,compliant,"['jaywalking', 'jaywalking', 'jaywalking']",jaywalking,FAIL
video_0025,video_0025.mp4,compliant,"['jaywalking', 'jaywalking', 'compliant']",jaywalking,FAIL
video_0031,video_0031.mp4,compliant,"['jaywalking', 'compliant', 'compliant']",compliant,PASS
video_0038,video_0038.mp4,jaywalking,"['jaywalking', 'jaywalking', 'jaywalking']",jaywalking,PASS
video_0039,video_0039.mp4,compliant,"['compliant', 'compliant', 'compliant']",compliant,PASS
video_0041,video_0041.mp4,compliant,"['jaywalking', 'jaywalking', 'jaywalking']",jaywalking,FAIL
video_0042,video_0042.mp4,jaywalking,"['jaywalking', 'jaywalking', 'jaywalking']",jaywalking,PASS
video_0046,video_0046.mp4,compliant,"['compliant', 'compliant', 'compliant']",compliant,PASS
video_0050,video_0050.mp4,compliant,"['jaywalking', 'jaywalking', 'jaywalking']",jaywalking,FAIL
video_0067,video_0067.mp4,jaywalking,"['compliant', 'jaywalking', 'jaywalking']",jaywalking,PASS
video_0076,video_0076.mp4,compliant,"['jaywalking', 'jaywalking', 'jaywalking']",jaywalking,FAIL
video_0081,video_0081.mp4,jaywalking,"['jaywalking', 'jaywalking', 'jaywalking']",jaywalking,PASS
video_0095,video_0095.mp4,compliant,"['jaywalking', 'jaywalking', 'compliant']",jaywalking,FAIL
video_0100,video_0100.mp4,compliant,"['jaywalking', 'jaywalking', 'jaywalking']",jaywalking,FAIL
video_0107,video_0107.mp4,jaywalking,"['jaywalking', 'jaywalking', 'jaywalking']",jaywalking,PASS
video_0124,video_0124.mp4,jaywalking,"['compliant', 'jaywalking', 'jaywalking']",jaywalking,PASS
